"","region","gridX","gridY","Neigh_code","Neighbourh","Sector","Sector_cod","NPU","NPU_code","LA","pop2011","HH2011","lon","lat"
"165","WVLL",2,3,"WVLL","Merry Hill","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12189","5203",-2.170609,52.570575
"166","WVLM",3,1,"WVLM","Oxley","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12716","5161",-2.145494,52.618435
"167","WVLN",2,2,"WVLN","Park","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11775","5184",-2.153107,52.588863
"168","WVLP",2,4,"WVLP","Penn","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12718","4941",-2.154403,52.561805
"169","WVLR",4,4,"WVLR","Spring Vale","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11991","4945",-2.106923,52.554016
"170","WVLS",3,2,"WVLS","St Peter's","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","12198","4524",-2.139193,52.599724
"171","WVLT",1,2,"WVLT","Tettenhall Regis","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11944","4859",-2.169987,52.604339
"172","WVLW",1,3,"WVLW","Tettenhall Wightwick","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11300","5139",-2.181212,52.586198
"173","WVLX",7,1,"WVLX","Wednesfield North","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11165","4937",-2.062393,52.613462
"174","WVLY",7,2,"WVLY","Wednesfield South","Wolverhampton Outer","WVSL","Wolverhampton","WV","Wolverhampton","11498","4877",-2.075277,52.599178
